market_constraint,dayzer_constraint,pano_constraint
JACKSNVL_138KVPAR-JACK_1_LN,JACKSNVL_138 KV_PAR-JACK:L345.Spurlock-NorthClark,JACKSNVL 138KV - PARISTAP 138KV (JACKSNVL 138 KV PAR-JACK) L345.Spurlock-NorthClark
94 HAURD138 KV 96101,94 HAURD_138 KV_96101:ACTUAL,961 LEE 138KV - 94 HAURD 138KV (94 HAURD 138 KV 96101) L230.Brambleton-Belmont.201
CROSSROA115 KV  CRO-WIN,CROSSROA_115 KV_CRO-WIN:ACTUAL,WIND ME 115KV - CROSSROA 115KV (CROSSROA 115 KV CRO-WIN) BASE
HUNTINGT_138KVHUN-SOR1_1_LN,HUNTINGT_138 KV_HUN-SOR1:ACTUAL,HUNTINGT 138KV - SORENSON 138KV (HUNTINGT 138 KV HUN-SOR1) L765.Dumont-Greentown
FARMVILL230 KV  TX5,FARMVILL_230 KV_TX5:ACTUAL,FARMVILL 230KV - FARMVILL 115KV (FARMVILL 230 KV TX5) L230.Clover-Briery-Farmville.235
MIAMIFOR-08WILEY1 9784 A 138 KV,MIAMIFOR_138 KV_MIA-HEB:L345.Terminal-PortUnion.4513,MIAMIFOR-08WILEY1 9784      A  138 KV L345.East Bend-Terminal
HAYNIE 115 KV HAY-PIN,HAYNIE_115 KV_HAY-PIN:L345.HandsomeLake-Armstrong,PINEY 115KV - HAYNIE 115KV (HAYNIE 115 KV HAY-PIN) L345.HandsomeLake-Armstrong
MIAMIFOR_T3_3459_XF,MIAMIFOR_345 KV_9:L345.WestMilton-MiamiFort,MIAMIFOR 345KV - MIAMIFOR 138KV (MIAMIFOR 345 KV 9) L345.WestMilton-MiamiFort
EDDINGTO 230 KV EDDINGTO-EDDINTAP 220-55,EDDINGTO_230 KV_EDD-EDD:L138.Emilie-Neshaminy.130-25,EDDINTAP 230KV - EDDINGTO 230KV (EDDINGTO 230 KV EDD-EDD) L138.Emilie-Neshaminy.130-25
ALLENIM 345 KV  ALL-RPM,ALLENIM_345 KV_ALL-RPM:L765.Maliszewski-Marysville,ALLENIM 345KV - RPMONE 345KV (ALLENIM 345 KV ALL-RPM) L765.Maliszewski-Marysville
SCOTTSVI 138 KV SCOTTSVI-BREMO_VP,SCOTTSVI_138 KV_SCO-BRE1:L500.Elmont-Cunningham.553,BREMO4 138KV - SCOTTSVI 138KV (SCOTTSVI 138 KV SCO-BRE1) L500.Elmont-Cunningham.553
127 MATT138 KV 6603 2,127 MATT_138 KV_6603 2:138L17904 Bloom-17904-Matteson 138 kV Line,6603 138KV - 127 MATT 138KV (127 MATT 138 KV 6603 2) 138L17904 Bloom-17904-Matteson 138 kV Line
SNYDER - SULLIVAN 345 KV L/O SIDNEY - BUNSONVILLE 345 KV,BUNSONV3_345 KV_TR1:Bunsonville-Sidney 345 kV,SNYD 345KV - SULLIVA2 345KV (SNYD 345 KV SNY-SULL) L345.Bunsonville-Sidney
GRACETON 230 KV GRACETON-SAFEHARB 2303,GRACETON_230 KV_GRA-MANO:L500.PeachBottom.BusTie.1,GRACETON-SAFEHARB 2303      B  230 KV (NUKE) L500.PeachBottom-Conastone.5012
WESCOSVI230 KV  5,WESCOSVI_230 KV_5:230/138.Siegfried.4,WESCOSVI 230KV - WESCOSVI 138KV (WESCOSVI 230 KV 5) 230/138.Siegfried.4
BULLRUN 230 KV  BUL-CLIF,BULLRUN_230 KV_BUL-CLIF:L500.Loudoun-Morrisville.569,CLIFTON 230KV - BULLRUN 230KV (BULLRUN 230 KV BUL-CLIF) L230.Brambleton-Belmont.201
SUGARCRK-DRESSER 345 FLO CAYUGA-EUGENE_345,DRESSER_345 KV_DRE-MIR:L345.Cayuga-Eugene,SugarCrk-Dresser 345 flo Cayuga-Eugene_345 L345.Cayuga-Eugene
LACKAWAN230 KV  LAC-PAU,LACKAWAN_230 KV_LAC-PAU:L500.Shickshinny-Susquehanna.5067,LACKAWAN 230KV - PAUPACK 230KV (LACKAWAN 230 KV LAC-PAU) L500.Shickshinny-Susquehanna.5067
FREMNT-FREMONTC A 138 KV,FREMNT_138 KV_FRE-FRE1:ACTUAL,FREMNT 138KV - FREMONTC 138KV (FREMNT 138 KV FRE-FRE1) L138/69.Fremont.T1 + 69.Fremont.Bus
LOUDOUN4 500 KV LOUDOUN4 TX2 XFORMER,LOUDOUN4_500 KV_TX2:L500.Clifton-Mosby.559A,LOUDOUN4 500KV - LOUDOUN4 230KV (LOUDOUN4 500 KV TX2) L500.Clifton-Mosby.559A
GARRETAP-GARRETT B 115 KV,GARRETAP_115 KV_GAR-GAR:L500.Conastone-PeachBottom.5012,GARRETAP 115KV - GARRETT 115KV (GARRETAP 115 KV GAR-GAR) L500.Conastone-PeachBottom.5012
ELANCAST138 KV  ELA-PRI2,ELANCAST_138 KV_ELA-PRI2:L500.Conastone-PeachBottom.5012,ELANCAST 138KV - PRINCEPL 138KV (ELANCAST 138 KV ELA-PRI2) L500.Conastone-PeachBottom.5012
FRKUNION115 KV  1030A,FRKUNION_115 KV_1030A:L230.Bremo-ForkUnion.2193,BREMO4 115KV - FRKUNION 115KV (FRKUNION 115 KV 1030A) L230.Bremo-ForkUnion.2193
WHITAKER115 KV  1001B,WHITAKER_115 KV_1001B:L500.Cloverdale-Lexington.566,WHITAKER 115KV - CONSLDSL 115KV (WHITAKER 115 KV 1001B) L500.Cloverdale-Lexington.566
HARRTN-SHARRING 6739 B 69 KV,HARRTN_69 KV_HAR-SHA:L69.Cheswold-Kent.6768,SHARRING 69KV - HARRTN 69KV (HARRTN 69 KV HAR-SHA) 138/69.Cheswold.AT1 + L69.Cheswold-Kent.6768
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,ALLDAM6_138 KV_ALL-KIT:500/230.Conemaugh.TX3,ALLDAM6-KITTANNI SP-KT      A  138 KV MAXCR: 500/230.Keystone.T3+U1+U2+5001+02+03+04
BUTLER_69KVBUT-SHE_1_LN,BUTLER_69 KV_BUT-SHE:L69.Sherman-Vineland.0761,SHERMAN 69KV - BUTLER 69KV (BUTLER 69 KV BUT-SHE) L69.Sherman-Vineland.0761
ARMSTRON 138 KV ARMSTRON-BURMA ARG-BM,ARMSTRON_138 KV_ARM-BUR:345/138.Ashtabula.TR4,ARMSTRON 138KV - BURMA 138KV (ARMSTRON 138 KV ARM-BUR) 345/138.Ashtabula.TR4
ETOWANDA-NMESHOPP ETL 1057 B 115 KV,NMESHOPP_230 KV_4 TX:L115.EastTowanda-NorthMeshoppen.1057,NMESHOPP 230KV - NMESHOPP 115KV (NMESHOPP 230 KV 4 TX) L115.EastTowanda-NorthMeshoppen.1057
VIENNA  138 KV  13710,VIENNA_138 KV_13710:230/138.PineyGrove.AT20,VIENNA  138 KV  13710 230/138.PineyGrove.AT20
EASTON  69 KV   EAS-EMU,EASTON_69 KV_EAS-EMU:Jefferson-Rockport 765+Rockport Unit 1,EASTON 69KV - EMUNI 69KV (EASTON 69 KV EAS-EMU) Jefferson-Rockport 765+Rockport Unit 1
FRGSNSOU69 KV   SMR-FRGS,FRGSNSOU_69 KV_SMR-FRGS:L161.Cooper-Elihu,FRGSNSOU 69KV - SMRST_EK 69KV (FRGSNSOU 69 KV SMR-FRGS) L161.Cooper-Elihu
CLBHOUSE 230 KV CLBHOUSE TX1 XFORMER,CLBHOUSE_230 KV_TX1:L500.Brighton-Conastone.5011,CLBHOUSE 115KV - CLBHOUSE 230KV (CLBHOUSE 230 KV TX1) L230.Brambleton-Belmont.201
SMITHJCT 115 KV SMITHJCT-SMITHST 967,SMITHJCT_115 KV_SMI-SMI:L115.MiddletownJct-Collins (Sctnlz),SMITHJCT 115KV - SMITHST 115KV (SMITHJCT 115 KV SMI-SMI) L115.MiddletownJct-Collins (Sctnlz)
LAURELDP 69 KV LAURELDP-SHARP 6705-1,SHARP_69 KV_SHA-VIE:L230.Steele-Vienna.23085 & 230/138.Vienna.AT20,LAURELDP 69KV - SHARP 69KV (LAURELDP 69 KV LAU-SHA) 230/138.Vienna.AT20
LAURELDP_69KVLAU-SHA_1_LN,LAURELDP_69 KV_LAU-SHA:230/138.Vienna.AT20,LAURELDP 69KV - SHARP 69KV (LAURELDP 69 KV LAU-SHA) 230/138.Vienna.AT20
PERTH   115 KV  PER-STAG,PERTH_115 KV_PER-STAG:ACTUAL,STGCOACH 115KV - PERTH 115KV (PERTH 115 KV PER-STAG) BASE
KEEMIN  138 KV  KEE-KEWA,KEEMIN_138 KV_KEE-KEWA:L345.Nelson-ElectricJunction.15502,KEEMIN 138KV - 74 KEWAN 138KV (KEEMIN 138 KV KEE-KEWA) L345.Nelson-ElectricJunction.15502
SPOTSLV 500 KV  515A,SPOTSLV_500 KV_515A:ACTUAL,SPOTSLV 500 KV  515A BASE
EASTVILL69 KV   EAS-KEN,EASTVILL_69 KV_EAS-KEN:ACTUAL,KENDLGRV 69KV - EASTVILL 69KV (EASTVILL 69 KV EAS-KEN) BASE
7915 138 KV 7915 LINE 38L7915 2,7915_138 KV_7915 2:ACTUAL,7915 LINE 38L7915 2         B  138 KV L345.Wayne-Tollway.14402 R
ALLENIM 138 KV  ALL-LOG,ALLENIM_138 KV_ALL-LOG:L345.SouthBerwick-FostoriaCentral,ALLENIM 138KV - LOGTOWN 138KV (ALLENIM 138 KV ALL-LOG) L345.SouthBerwick-FostoriaCentral
DOEX530 345 KV  DOE-PIE1,DOEX530_345 KV_DOE-PIE1:RAS.L765.Jefferson-Rockport + Rockport.U2,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE1) RAS.L765.Jefferson-Rockport + Rockport.U1
FIELDALE138 KV  FIE-OAK1,FIELDALE_138 KV_FIE-OAK1:L765.JacksonsFerry-Cloverdale + 138CB.JF.L,FIELDALE 138KV - OAKLEVEL 138KV (FIELDALE 138 KV FIE-OAK1) L765.JacksonsFerry-Cloverdale + 138CB.JF.L
CONCRDDP_69KVCON-PEP_1_LN,CONCRDDP_69 KV_CON-PEP:230/69.CoolSprings.AT20,CONCRDDP 69KV - PEPPER 69KV (CONCRDDP 69 KV CON-PEP) 230/69.CoolSprings.AT20
CARLYLES230 KV  CAR-NRTH,CARLYLES_230 KV_CAR-NRTH:L230.Ox-VirginiaHills.248B + SR1,CARLYLES 230KV - NRTHALEX 230KV (CARLYLES 230 KV CAR-NRTH) L230.Ox-VirginiaHills.248B + SR1
NRTHNECK 230 KV NRTHNECK TX6 XFORMER,NRTHNECK_230 KV_TX6:ACTUAL,NRTHNECK 115KV - NRTHNECK 230KV (NRTHNECK 230 KV TX6) L230.LadysmithCT-SummDP-MineRd-Fredericksburg.2090
BURMA 115 KV BURMA-PINEY BA,BURMA_115 KV_BUR-PIN:L230.Glade-Warren.2088,BURMA 115KV - PINEY 115KV (BURMA 115 KV BUR-PIN) L230.Glade-Warren.2088
ELIMA   138 KV  ELI-HAV1,ELIMA_138 KV_ELI-HAV1:L765.Flatlick-Marysville,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1) L765.Flatlick-Marysville
BARTONVI138 KV  BAR-LONG,BARTONVI_138 KV_BAR-LONG:L500.Bedington-BlackOak,LONGCREE 138KV - BARTONVI 138KV (BARTONVI 138 KV BAR-LONG) L500.Bedington-BlackOak
BIGPINET_138KVBIG-KIS_1_LN,BIGPINET_138 KV_BIG-KIS:L138.Springdale-All4Jct-All4Tap-All6-Brackenridge,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS) L138.Springdale-All4Jct-All4Tap-All6-Brackenridge
MAINESBG345 KV  T1,MAINESBG_345 KV_T1:L230.ETowanda-Hillside.2002 [NYISO],MAINESBG345 KV  T1 L230.ETowanda-Hillside.2002 [NYISO]
ASPENSLR115 KV  ASP-ROXB,ASPENSLR_115 KV_ASP-ROXB:500/230.Hunterstown.T1,ASPENSLR 115KV - ROXBURY 115KV (ASPENSLR 115 KV ASP-ROXB) 500/230.Hunterstown.T1
46_DESPL_T6_138TR84CT-S_XF,46 DESPL_138 KV_TR84CT-S:ACTUAL,46 DESPL 138KV - 46 DESPL 1KV (46 DESPL 138 KV TR84CT-S) BASE
CENTER-WESTPORT 110552 A 115 KV,HAZELWOO_115 KV_HAZ-WIN6:Westport-Center (110552) 115 kV line,CENTER-WESTPORT 110552      B  115 KV Westport-Greene Street (110553) 115 kV line
HOPEWEL4 230 KV HOPEWEL4-CHESTER4 211A,HOPEWEL4_230 KV_211A:L230.Chesterfield-Southwest.208,HOPEWEL4 230KV - CHESTER4 230KV (HOPEWEL4 230 KV 211A) L230.Chesterfield-Southwest.208
7 STATE 345 KV 7 STATE TR82CT XFORMER,7 STATE_345 KV_TR82CT:L765.Dumont-WiltonCenter.11215,7 STATE 345KV - 7 STATE 138KV (7 STATE 345 KV TR82CT) L765.Dumont-WiltonCenter.11215
CONCRDDP69 KV CON-LAU,CONCRDDP_69 KV_CON-LAU:ACTUAL,LAURELDP 69KV - CONCRDDP 69KV (CONCRDDP 69 KV CON-LAU) L69.CoolSprings-Harbeson.6753
CROZET 230 KV CROZET -BARRCKRD 233B,CROZET_230 KV_233B:L500.Dooms-Cunningham.534,BARRCKRD 230KV - CROZET 230KV (CROZET 230 KV 233B) L500.Dooms-Cunningham.534
FORTROBI_138KVFOR-NAG1_1_LN,FORTROBI_138 KV_FOR-NAG1:ACTUAL,NAGELAEP 138KV - FORTROBI 138KV (FORTROBI 138 KV FOR-NAG1) L500.Broadford-Sullivan (TVA) Tie
ROXBURY NO2 TX XFORMER H 138 KV,ROXBURY_138 KV_NO2 TX:L500.Hunterstown-Conastone.5013,ROXBURY 115KV - ROXBURY 138KV (ROXBURY 138 KV NO2 TX) L500.Hunterstown-Conastone.5013
HIGHRIDG230 KV  HIG-SAN1,HIGHRIDG_230 KV_HIG-SAN1:L500.Hunterstown-Conastone.5013,SANDYSPG 230KV - HIGHRIDG 230KV (HIGHRIDG 230 KV HIG-SAN1) L500.Hunterstown-Conastone.5013
ELKLCKDP230 KV  2173A,ELKLCKDP_230 KV_2173A:L230.Brambleton-PolandRoad.2183,LOUDOUN4 230KV - ELKLCKDP 230KV (ELKLCKDP 230 KV 2173A) L230.Brambleton-PolandRoad.2183
YADKIN4 500 KV  TX5,YADKIN4_500 KV_TX5:L500.Suffolk-Yadkin.565,YADKIN4 500KV - YADKIN4 230KV (YADKIN4 500 KV TX5) L500.Suffolk-Yadkin.565
DELA PE 69 KV   DEL 1TR,DELA PE_69 KV_DEL 1TR:ACTUAL,DELA PE 69 KV   DEL 1TR BASE
DOEX530 345 KV  DOE-PIE1,DOEX530_345 KV_DOE-PIE1:RAS.L765.Jefferson-Rockport + Rockport.U2,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE1) RAS.L765.Jefferson-Rockport + Rockport.U2
MARTINSC 230 KV MARTINSC-SIEGFRIE NO.1,MARTINSC_230 KV_MAR-SIE1:L500.Hopatcong-Lackawanna.5063,SIEGFRIE 230KV - MARTINSC 230KV (MARTINSC 230 KV MAR-SIE1) L500.Hopatcong-Lackawanna.5063
PADDOCK T21 345/138 KV L/O BYRON - WAYNE 345 KV,PADDOCK_345 KV_T21:Byron - Wayne 345 kV,PADDOCK 345KV - PADDOCK 138KV (PADDOCK 345 KV T21) L345.Byron-Wayne.0626
BED-BLA CONTINGENCY 54,BED-BLA contingency 38 L500.Meadow Brook-FrontRoyal.580,BED-BLA contingency 54 L500.FrontRoyal-Morrisville.541
LINWOOD2138 KV  LIN-ROS1,LINWOOD2_138 KV_LIN-ROS1:ACTUAL,ROSEHILL 138KV - LINWOOD2 138KV (LINWOOD2 138 KV LIN-ROS1) BASE
SWLIMA  138 KV  SWL-WMO1,SWLIMA_138 KV_SWL-WMO1:L345.Pierce-Foster,SWLIMA 138KV - WMOULTON 138KV (SWLIMA 138 KV SWL-WMO1) L345.Pierce-Foster
911INDUS138 KV  911-NEWC,911INDUS_138 KV_911-NEWC:345/138.Hoytdale.T2,NEWCASOE 138KV - 911INDUS 138KV (911INDUS 138 KV 911-NEWC) 345/138.Hoytdale.T2
ASPENSLR115 KV  ASP-SHAD,ASPENSLR_115 KV_ASP-SHAD:L500.Brighton-Conastone.5011,SHADEGAP 115KV - ASPENSLR 115KV (ASPENSLR 115 KV ASP-SHAD) L500.Brighton-Conastone.5011
DOUBS   500 KV  DOU-GOO,DOUBS_500 KV_DOU-GOO:L500.Ladysmith-Possum Point.568,DOUBS 500KV - GOOSECRE 500KV (DOUBS 500 KV DOU-GOO) L500.Ladysmith-Possum Point.568
CARLLS-SHERMAN 0739 A 69 KV,CARLLS_69 KV_CAR-SHE:L230.Cumberland-Orchard.2314,CARLLS 69KV - SHERMAN 69KV (CARLLS 69 KV CAR-SHE) L230.Cumberland-Orchard.2314
KYGER CREEK - SPORN 345KV L/O HANGING ROCK - JEFFERSON 765KV,KOKOMOPS_230 KV_KOK-TIP:Jefferson-Hanging Rock 765 kV line,LINE    345 KV  Clifty Creek-Dearborn 1 345 kV l/o Hanging Rock-Jefferson 765 kV FG LINE    765 KV  HAN-JEF1CMPLINE DUMMY
KENT 69 KV KENT-VAUGHN 6784-1,KENT_69 KV_KEN-VAU:L230.Cartanza-Milford.23033,KENT 69KV - VAUGHN 69KV (KENT 69 KV KEN-VAU) L230.Cartanza-Milford.23033
CHARLTSV230 KV  291C,CHARLTSV_230 KV_291C:L500.Elmont-Cunningham.553,CHARLTSV 230KV - BARRCKRD 230KV (CHARLTSV 230 KV 291C) L500.Elmont-Cunningham.553
COPELNDP115 KV  COP-HOLL,COPELNDP_115 KV_COP-HOLL:L115.Pecan-Carolina.1010,HOLLAND 115KV - COPELNDP 115KV (COPELNDP 115 KV COP-HOLL) L115.Pecan-Carolina.1010
FACEROCK69 KV   FAC-MIL1,FACEROCK_69 KV_FAC-MIL1:L69.FaceRock-Manor,FACEROCK 69KV - MILLWDPL 69KV (FACEROCK 69 KV FAC-MIL1) L69.FaceRock-Manor
BOARDMAN138 KV BOA-SHE1,BOARDMAN_138 KV_BOA-SHE1:L345.Hoytdale-Mansfield,SHENANGO 138KV - BOARDMAN 138KV (BOARDMAN 138 KV BOA-SHE1) L345.Hoytdale-Mansfield
LANHAM 115 KV LANHAM-TUXEDO 11503,LANHAM_115 KV_LAN-TUX4:ACTUAL,LANHAM 115KV - TUXEDO 115KV (LANHAM 115 KV LAN-TUX3) BASE
APSOUTH CONTINGENCY 35,APSOUTH contingency 35 L500.Loudoun-Meadowbrook (TRAIL),APSOUTH contingency 35 L500.Loudoun-Meadowbrook (TRAIL)
CURRYVIL115 KV  CUR-SAX,CURRYVIL_115 KV_CUR-SAX:ACTUAL,CURRYVIL 115KV - SAXTON 115KV (CURRYVIL 115 KV CUR-SAX) DTX115.Bedford.Load1
GREENBUS_69KVGRN-TAS_1_LN,GREENBUS_69 KV_GRN-TAS:L69.OakHall-Perdue-Tasley.6778,GREENBUS 69KV - TASLEY 69KV (GREENBUS 69 KV GRN-TAS) L69.OakHall-Perdue-Tasley.6778
WESTGLOW138 KV  WES-WUR,WESTGLOW_138 KV_WES-WUR:ACTUAL,WESTGLOW 138KV - WURNO 138KV (WESTGLOW 138 KV WES-WUR) 765/500.Cloverdale.T14
ALTAVSTA69 KV   35A1,SAXTON_115 KV_SAX-THR:Hunterstown-TexasEastern-Gardners (991) 115 kV lin,ALTAVSTA69 KV   35A1 L115.Hunterstown-TexasEastern-Gardners.991
LEWESREA 69 KV LEWESREA-MIDWAY 6751-2,LEWESREA_69 KV_LEW-MID:ACTUAL,MIDWAY 69KV - LEWESREA 69KV (LEWESREA 69 KV LEW-MID) BASE
VERMILION-TILTON ENERGY CENTER 138 KV L/O RISING-SIDNEY 345 KV,NCHAMPGN_138 KV_NCH-VERM:Vermilion-Tilton 138 kV,Vermilion-Tilton 138 kV l/o Sullivan-Casey 345 kV Sullivan-Casey West 345 kV
ECLIPSE 115 KV  ECL-SCR,ECLIPSE_115 KV_ECL-SCR:ACTUAL,ECLIPSE 115KV - SCRUBGRS 115KV (ECLIPSE 115 KV ECL-SCR) BASE
ESAYRE 115 KV ESAYRE-NWAVERLY 1058 TIE,ESAYRE_115 KV_ESA-ETO:ACTUAL,ESAYRE-NWAVERLY 1058 TIE    A  115 KV BASE
FRDRKSBG230 KV  2083A,FRDRKSBG_230 KV_2083A:L230.Elmont-Hanover-FourRivers.2032,FRDRKSBG 230KV - BIRCHWD 230KV (FRDRKSBG 230 KV 2083A) L230.Elmont-Hanover-FourRivers.2032
CONNELSV 138 KV CONNELLS-STONEJCT CV-STOJ,CONNELSV_138 KV_CON-STO:ACTUAL,STONEJCT 138KV - CONNELSV 138KV (CONNELSV 138 KV CON-STO) L500.502Junction-NorthLongview
CEDARSUB230 KV CED-WILF,CEDARSUB_230 KV_CED-WILF:L230.Roseland-WCaldwell-Kingsland.K-2316,WILLIAM1 230KV - CEDARSUB 230KV (CEDARSUB 230 KV CED-WILF) L230.Roseland-WCaldwell-Kingsland.K-2316
BAKRSPDP115 KV  BAK-HARR,BAKRSPDP_115 KV_BAK-HARR:ACTUAL,HARRELL 115KV - BAKRSPDP 115KV (BAKRSPDP 115 KV BAK-HARR) BASE
REMINGTN115 KV  TX1,REMINGTN_115 KV_TX1:L230.Dooms-Charlottesville.233,REMINGTN 115KV - REMINGTN 35KV (REMINGTN 115 KV TX1) L230.Dooms-Charlottesville.233
MOUN_UGI_T2_2303_XF,MOUN UGI_230 KV_1:230/66.Mountain.T2 (Sctnlz),LINE    69 KV   BER-KOO MOUN UGI230 KV  23010   CB      OPEN    MOUN UGI230 KV  23020   CB      OPEN    MOUN UGI230 KV  2303
ALBURTIS500 KV  ALB-BRN2,ALBURTIS_500 KV_ALB-BRN2:L500.Juniata-Sunbury.5046,BRNGSVIL 500KV - ALBURTIS 500KV (ALBURTIS 500 KV ALB-BRN2) L500.Juniata-Sunbury.5046
CASHCNDP230 KV  2135A,CASHCNDP_230 KV_2135A:L500.Elmont-Cunningham.553,GORDONSV 230KV - CASHCNDP 230KV (CASHCNDP 230 KV 2135A) L500.Elmont-Cunningham.553
PRESTON 69 KV PRESTON-TODD 6716-6,TODD_69 KV_TOD-VNL:L69.Easton-TrappeTap-Talbt-Tanyd-Preston-Todd.6716,PRESTON-TODD 6716-6         B  69 KV 138/69.Easton.AT1 + L138.Steele-Easton.13712
HOOVERSV115 KV  HOO-STA,HOOVERSV_115 KV_HOO-STA:ACTUAL,HOOVERSV 115KV - STATHILL 115KV (HOOVERSV 115 KV HOO-STA) BASE
BRUNOTIS345 KV  BRU-COL,BRUNOTIS_345 KV_BRU-COL:L345.Crescent-Mansfield,COLLIER 345KV - BRUNOTIS 345KV (BRUNOTIS 345 KV BRU-COL) L345.Crescent-Mansfield
HOMERCIT_230KVHOM-SHE_1_LN,HOMERCIT_230 KV_HOM-SHE:ACTUAL,SHELOCTA 230KV - HOMERCIT 230KV (HOMERCIT 230 KV HOM-SHE) 345/138.Ashtabula.TR4 & Seneca #1 + #2 pump
GILLETTE230 KV  GIL-SUMU,GILLETTE_230 KV_GIL-SUMU:L500.Hopatcong-Roseland.5061,GILLETTE 230KV - SUMM JC 230KV (GILLETTE 230 KV GIL-SUMU) L500.Hopatcong-Roseland.5061
19906   138 KV  199-KEN6,19906_138 KV_199-KEN6:ACTUAL,199 KENS 138KV - 19906 138KV (19906 138 KV 199-KEN6) BASE
16901   138 KV  16901 Z1,16901_138 KV_16901 Z1:Bergen.CC1,979 MEND 138KV - 16901 138KV (16901 138 KV 16901 Z1) Bergen.CC1
CHASECTY_CHA1151027_1_LN,CHATFIEL_138 KV_CHA-HOW1:ACTUAL,CHASECTY_CHA1151027_1_LN BASE
BURLING-CROYDON D-220-30-5 A 230 KV,EMILIE_230 KV_EMIL8TR:L230.Croydon-Burlington.D-220-30,BURLING-CROYDON D-220-30-5  B  230 KV L230.Eddington-Holmesburg-Richmond.220-56
NOTCHCLI115 KV  NOT-WIN7,NOTREDAM_138 KV_NOT-SBE1:345/138.Twinbranch.6 & 7,NOTCHCLI115 KV  NOT-WIN7 BASE
AEP-DOM,AEP-DOM contingency 14 L500.Harrison-Pruntytown,TRANSFER INTERFACE: AEP-DOM L500.Harrison-Pruntytown.526
SUMSHADE161 KV  20S-5SU1,SUMSHADE_161 KV_20S-5SU1:ACTUAL,SUMSHADE 161KV - SUMMER 161KV (SUMSHADE 161 KV 20S-5SU1) L500.Phippsbend-Sullivan (TVA)
SWLIMA  138 KV  SWL-WMO1,SWLIMA_138 KV_SWL-WMO1:L345.EastBend-Terminal,SWLIMA 138KV - WMOULTON 138KV (SWLIMA 138 KV SWL-WMO1) L345.EastBend-Terminal
CANYON  230 KV  CAN-EAS,CANYON_230 KV_CAN-EAS:L230.ETowanda-Hillside.2002 [NYISO],ETOWANDA 230KV - CANYON 230KV (CANYON 230 KV CAN-EAS) L230.ETowanda-Hillside.2002 [NYISO]
MCCARTER230 KV  MCC-WOR,MCCARTER_230 KV_MCC-STA:L230.CedarGrove-CedarSub-Roseland.Y-2277,MCCARTER230 KV  MCC-WOR L230.CedarGrove-CedarSub-Roseland.Y-2277
BRAIDWOOD-E FRANKFURT 2001 345 L/O BRAIDWOOD-E FRANKFURT 2003 345,66 E FRN_345 KV_6608:L345.Braidwood-EastFrankfort.2001,Braidwood-E Frankfurt 2001 345 l/o Braidwood-E Frankfurt 2003 345 L345.Braidwood-East Frankfort.2003
CHALKPT 500 KV  CHA-CHE,CHALKPT_500 KV_CHA-CHE:L500.Cloverdale-Lexington.566,CHALKPT 500KV - CHELTENH 500KV (CHALKPT 500 KV CHA-CHE) L500.Cloverdale-Lexington.566
SWLIMA  138 KV  SWL-WMO1,SWLIMA_138 KV_SWL-WMO1:L345.Beaver-DavisBesse,SWLIMA 138KV - WMOULTON 138KV (SWLIMA 138 KV SWL-WMO1) L345.Beaver-DavisBesse
CHINCOTE_69KVCHI-WAT_1_LN,CHINCOTE_69 KV_CHI-WAT:ACTUAL,WATTSVIL 69KV - CHINCOTE 69KV (CHINCOTE 69 KV CHI-WAT) BASE
BEAUMEAD230 KV  BEA-BUTR,BEAUMEAD_230 KV_BEA-BUTR:L230.Shellhorn-Enterprise.2186,BEAUMEAD 230KV - BUTTRMLK 230KV (BEAUMEAD 230 KV BEA-BUTR) L230.Shellhorn-Enterprise.2186
NELSON-VIENNA 13707         A  138 KV,VIENNA_138 KV_13710:L230.IndianRiver-Milford.23034,VIENNA 138KV - NELSON 138KV (NELSON 138 KV NEL-VIE) L230.IndianRiver-Milford.23034
BUZZARD 138 KV  BUZ-SOU3,BUZZARD_138 KV_BUZ-SOU3:ACTUAL,BUZZARD 138KV - SOUTHWES 138KV (BUZZARD 138 KV BUZ-SOU3) BASE
ELKO 138 KV ELKO-RIDG APS RI-ELK,ELKO_138 KV_ELK-RID:ACTUAL,RIDG APS 138KV - ELKO 138KV (ELKO 138 KV ELK-RID) L230.Moshannon-Chapman-Lobo-Marshall
SALTSBUR 138 KV SALTSBUR-SOCIALHA SA-SH,SALTSBUR_138 KV_SAL-SOC:L500.Cabot-Keystone.5002,SOCIALHA 138KV - SALTSBUR 138KV (SALTSBUR 138 KV SAL-SOC) L500.Cabot-Keystone.5002
BRAMBLET230 KV  BRA-EVRG,BRAMBLET_230 KV_BRA-EVRG:L230.Buttermilk-Beaumeade.2152,BRAMBLET 230KV - EVRGREEN 230KV (BRAMBLET 230 KV BRA-EVRG) L230.Buttermilk-Beaumeade.2152
LINCOLN_115KVLIN-STR_1_LN,LINCOLN_115 KV_LIN-STR:L500.Conastone-PeachBottom.5012,LINCOLN 115KV - STRABAN 115KV (LINCOLN 115 KV LIN-STR) L500.Conastone-PeachBottom.5012
